02 Token Inválido
28 Token Inválido
26 Token Inválido
2024-02-11 12:00:10.480910 - 22 Token Inválido
2024-05-17 09:00:09.555581 - \\192.42.103.17\propaganda\publicador_facebook\img\img16.png não foi encontrada
2024-05-17 12:00:11.212391 - \\192.42.103.17\propaganda\publicador_facebook\img\img25.png não foi encontrada
2024-05-17 18:00:04.272539 - \\192.42.103.17\propaganda\publicador_facebook\img\img07.png não foi encontrada
2024-05-17 21:00:04.866811 - \\192.42.103.17\propaganda\publicador_facebook\img\img17.png não foi encontrada
2024-05-18 09:00:11.457752 - \\192.42.103.17\propaganda\publicador_facebook\img\img26.png não foi encontrada
2024-05-18 12:00:05.205634 - \\192.42.103.17\propaganda\publicador_facebook\img\img08.png não foi encontrada
2024-05-18 18:00:04.359718 - \\192.42.103.17\propaganda\publicador_facebook\img\img18.png não foi encontrada
2024-05-18 21:00:04.207983 - \\192.42.103.17\propaganda\publicador_facebook\img\img27.png não foi encontrada
2024-05-19 09:00:10.115859 - \\192.42.103.17\propaganda\publicador_facebook\img\img09.png não foi encontrada
2024-05-19 12:00:07.563066 - \\192.42.103.17\propaganda\publicador_facebook\img\img19.png não foi encontrada
2024-05-19 18:00:06.619988 - \\192.42.103.17\propaganda\publicador_facebook\img\img28.png não foi encontrada
2024-05-19 21:00:04.575385 - \\192.42.103.17\propaganda\publicador_facebook\img\img10.png não foi encontrada
2024-05-20 09:00:09.034030 - \\192.42.103.17\propaganda\publicador_facebook\img\img01.png não foi encontrada
2024-05-20 12:00:04.445380 - \\192.42.103.17\propaganda\publicador_facebook\img\img11.png não foi encontrada
2024-05-20 18:00:06.776218 - \\192.42.103.17\propaganda\publicador_facebook\img\img20.png não foi encontrada
2024-05-20 21:00:04.684541 - \\192.42.103.17\propaganda\publicador_facebook\img\img02.png não foi encontrada
2024-05-21 09:00:18.151829 - \\192.42.103.17\propaganda\publicador_facebook\img\img12.png não foi encontrada
2024-05-21 12:00:05.566897 - \\192.42.103.17\propaganda\publicador_facebook\img\img21.png não foi encontrada
2024-05-21 18:00:05.302950 - \\192.42.103.17\propaganda\publicador_facebook\img\img03.png não foi encontrada
2024-05-21 21:00:05.146825 - \\192.42.103.17\propaganda\publicador_facebook\img\img13.png não foi encontrada
2024-05-22 09:00:10.015407 - \\192.42.103.17\propaganda\publicador_facebook\img\img22.png não foi encontrada
2024-05-22 12:00:04.312880 - \\192.42.103.17\propaganda\publicador_facebook\img\img04.png não foi encontrada
2024-05-22 18:00:04.111364 - \\192.42.103.17\propaganda\publicador_facebook\img\img14.png não foi encontrada
2024-05-22 21:00:04.029166 - \\192.42.103.17\propaganda\publicador_facebook\img\img23.png não foi encontrada
2024-05-23 09:00:09.314797 - \\192.42.103.17\propaganda\publicador_facebook\img\img05.png não foi encontrada
2024-05-23 12:00:04.241329 - \\192.42.103.17\propaganda\publicador_facebook\img\img15.png não foi encontrada
2024-05-23 18:00:04.292219 - \\192.42.103.17\propaganda\publicador_facebook\img\img24.png não foi encontrada
2024-05-23 21:00:04.146254 - \\192.42.103.17\propaganda\publicador_facebook\img\img06.png não foi encontrada
2024-05-24 09:00:09.639126 - \\192.42.103.17\propaganda\publicador_facebook\img\img16.png não foi encontrada
2024-05-24 12:00:08.962159 - \\192.42.103.17\propaganda\publicador_facebook\img\img25.png não foi encontrada
2024-05-24 18:00:04.130631 - \\192.42.103.17\propaganda\publicador_facebook\img\img07.png não foi encontrada
2024-05-24 21:00:04.464042 - \\192.42.103.17\propaganda\publicador_facebook\img\img17.png não foi encontrada
2024-05-25 09:00:09.350125 - \\192.42.103.17\propaganda\publicador_facebook\img\img26.png não foi encontrada
2024-05-25 12:00:05.122876 - \\192.42.103.17\propaganda\publicador_facebook\img\img08.png não foi encontrada
2024-05-25 18:00:06.627808 - \\192.42.103.17\propaganda\publicador_facebook\img\img18.png não foi encontrada
2024-05-25 21:00:05.234608 - \\192.42.103.17\propaganda\publicador_facebook\img\img27.png não foi encontrada
2024-05-26 09:00:18.893166 - \\192.42.103.17\propaganda\publicador_facebook\img\img09.png não foi encontrada
2024-05-26 12:00:09.367464 - \\192.42.103.17\propaganda\publicador_facebook\img\img19.png não foi encontrada
2024-05-26 18:00:07.192916 - \\192.42.103.17\propaganda\publicador_facebook\img\img28.png não foi encontrada
2024-05-26 21:00:07.418816 - \\192.42.103.17\propaganda\publicador_facebook\img\img10.png não foi encontrada
2024-05-27 09:00:10.045911 - \\192.42.103.17\propaganda\publicador_facebook\img\img01.png não foi encontrada
2024-05-27 12:00:04.403556 - \\192.42.103.17\propaganda\publicador_facebook\img\img11.png não foi encontrada
2024-05-27 18:00:05.687316 - \\192.42.103.17\propaganda\publicador_facebook\img\img20.png não foi encontrada
2024-05-27 21:00:05.111724 - \\192.42.103.17\propaganda\publicador_facebook\img\img02.png não foi encontrada
2024-05-28 09:00:17.518596 - \\192.42.103.17\propaganda\publicador_facebook\img\img12.png não foi encontrada
2024-05-28 12:00:10.870860 - \\192.42.103.17\propaganda\publicador_facebook\img\img21.png não foi encontrada
2024-05-28 18:00:04.958061 - \\192.42.103.17\propaganda\publicador_facebook\img\img03.png não foi encontrada
2024-05-28 21:00:06.214648 - \\192.42.103.17\propaganda\publicador_facebook\img\img13.png não foi encontrada
2024-05-29 09:00:09.864339 - \\192.42.103.17\propaganda\publicador_facebook\img\img22.png não foi encontrada
2024-05-29 12:00:04.712080 - \\192.42.103.17\propaganda\publicador_facebook\img\img04.png não foi encontrada
2024-05-29 18:00:04.608124 - \\192.42.103.17\propaganda\publicador_facebook\img\img14.png não foi encontrada
2024-05-29 21:00:04.060301 - \\192.42.103.17\propaganda\publicador_facebook\img\img23.png não foi encontrada
2024-05-30 09:00:09.178612 - \\192.42.103.17\propaganda\publicador_facebook\img\img05.png não foi encontrada
2024-05-30 12:00:04.269188 - \\192.42.103.17\propaganda\publicador_facebook\img\img15.png não foi encontrada
2024-05-30 18:00:04.433567 - \\192.42.103.17\propaganda\publicador_facebook\img\img24.png não foi encontrada
2024-05-30 21:00:03.865361 - \\192.42.103.17\propaganda\publicador_facebook\img\img06.png não foi encontrada
2024-05-31 09:00:10.739795 - \\192.42.103.17\propaganda\publicador_facebook\img\img16.png não foi encontrada
2024-05-31 12:00:12.000962 - \\192.42.103.17\propaganda\publicador_facebook\img\img25.png não foi encontrada
2024-05-31 18:00:04.580117 - \\192.42.103.17\propaganda\publicador_facebook\img\img07.png não foi encontrada
2024-05-31 21:00:04.581581 - \\192.42.103.17\propaganda\publicador_facebook\img\img17.png não foi encontrada
2024-06-01 09:00:10.005419 - \\192.42.103.17\propaganda\publicador_facebook\img\img26.png não foi encontrada
2024-06-01 12:00:04.990155 - \\192.42.103.17\propaganda\publicador_facebook\img\img08.png não foi encontrada
